#=========================================================================
#  COLUMN LABELS: SMaxis   rp   ecc   inc   Tiss   indexRun
#  Units: km,rad,s
#=========================================================================
    1.924460E+09     7.146939E+08     6.286262E-01     1.791663E-01       2.820377  170
    1.881226E+09     7.125498E+08     6.212312E-01     1.792766E-01       2.820520  171
    1.839053E+09     7.103344E+08     6.137500E-01     1.793961E-01       2.820667  172
    1.797669E+09     7.080491E+08     6.061294E-01     1.795073E-01       2.820850  173
    1.757368E+09     7.056891E+08     5.984397E-01     1.796277E-01       2.821038  174
    1.717978E+09     7.032546E+08     5.906499E-01     1.797450E-01       2.821251  175
    1.679598E+09     7.007423E+08     5.827916E-01     1.798659E-01       2.821478  176
    1.642143E+09     6.981522E+08     5.748530E-01     1.799838E-01       2.821731  177
    1.605736E+09     6.954788E+08     5.668784E-01     1.801088E-01       2.821992  178
    1.570218E+09     6.927236E+08     5.588360E-01     1.802275E-01       2.822284  179
    1.535681E+09     6.898823E+08     5.507646E-01     1.803482E-01       2.822592  180
    7.842848E+09     7.526922E+08     9.040282E-01     2.054554E-01       2.767976  181
    8.254021E+09     7.531398E+08     9.087548E-01     2.054707E-01       2.767130  182
    8.679550E+09     7.535325E+08     9.131830E-01     2.054951E-01       2.766291  183
    9.112704E+09     7.538703E+08     9.172726E-01     2.055216E-01       2.765475  184
    9.551409E+09     7.541535E+08     9.210427E-01     2.055550E-01       2.764673  185
    9.988060E+09     7.543822E+08     9.244716E-01     2.055916E-01       2.763893  186
    1.042005E+10     7.545568E+08     9.275861E-01     2.056358E-01       2.763124  187
    1.084091E+10     7.546771E+08     9.303862E-01     2.056881E-01       2.762365  188
    1.123702E+10     7.547434E+08     9.328342E-01     2.057432E-01       2.761630  189
    1.160326E+10     7.547559E+08     9.349531E-01     2.058045E-01       2.760911  190
    1.192636E+10     7.547142E+08     9.367188E-01     2.058691E-01       2.760216  191
    1.220347E+10     7.546189E+08     9.381636E-01     2.059413E-01       2.759533  192
    1.242154E+10     7.544695E+08     9.392612E-01     2.060180E-01       2.758871  193
    1.257719E+10     7.542664E+08     9.400290E-01     2.061012E-01       2.758225  194
    1.266393E+10     7.540093E+08     9.404601E-01     2.061904E-01       2.757596  195
    1.267231E+10     7.536983E+08     9.405240E-01     2.062810E-01       2.756999  196
    1.261180E+10     7.533329E+08     9.402676E-01     2.063794E-01       2.756412  197
    1.248089E+10     7.529135E+08     9.396747E-01     2.064836E-01       2.755846  198
    1.228505E+10     7.524398E+08     9.387516E-01     2.065941E-01       2.755296  199
    1.202725E+10     7.519114E+08     9.374827E-01     2.067088E-01       2.754771  200
    1.171800E+10     7.513287E+08     9.358825E-01     2.068292E-01       2.754265  201
    1.136401E+10     7.506909E+08     9.339414E-01     2.069535E-01       2.753784  202
    1.097883E+10     7.499977E+08     9.316869E-01     2.070865E-01       2.753315  203
    1.056592E+10     7.492497E+08     9.290881E-01     2.072216E-01       2.752876  204
