#1:t             2:x15e          3:y15e          4:z15e          5:u15e          6:v15e          7:w15e          8:r15e          9:a15e          10:e15e         11:i15e         12:g15e         13:n15e         14:l15e         15:q15e         16:b15e         17:p15e         18:f15e         19:s8.5         20:o8.5         21:m10e         22:d8.5         23:R15e         24:P15e         25:E15e         26:L15e         
1.1408000000e-03 -3.9789649200e-04 2.7910289200e-03 1.8987748300e-06 -9.9144456000e-03 -1.3729904900e-03 -2.3604240500e-07 2.8192494900e-03 2.8189908100e-03 4.0008510900e-03 3.8618278600e-02 6.9091492600e-01 5.8792859900e+00 9.1085031500e+01 2.8077124500e-03 2.8302691800e-03 6.5702009100e+00 9.1543364800e+01 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325669e-03 -1.0094126030e+03 1.2681087816e-12
1.2548000000e-03 -8.0515124100e-04 2.7035626500e-03 1.8682468900e-06 -9.5982423600e-03 -2.8173128200e-03 -1.2262516300e-06 2.8209081900e-03 2.8189908100e-03 4.0008490700e-03 3.8618244500e-02 6.9092885400e-01 5.8792585000e+00 9.9562217700e+01 2.8077124600e-03 2.8302691700e-03 6.5701873500e+00 1.0001393100e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325669e-03 -1.0094126030e+03 1.2681087802e-12
1.3689000000e-03 -1.1948511700e-03 2.5571409500e-03 1.7969812500e-06 -9.0734663400e-03 -4.1977447200e-03 -2.1880212700e-06 2.8225241100e-03 2.8189908200e-03 4.0008494700e-03 3.8618253400e-02 6.9092817300e-01 5.8792630600e+00 1.0803938600e+02 2.8077124600e-03 2.8302691800e-03 6.5701912300e+00 1.0847463500e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087830e-12
1.4830000000e-03 -1.5585426800e-03 2.3550517800e-03 1.6865960100e-06 -8.3522097300e-03 -5.4845634000e-03 -3.1005973900e-06 2.8240621500e-03 2.8189908200e-03 4.0008491400e-03 3.8618267200e-02 6.9097056600e-01 5.8792172600e+00 1.1651656200e+02 2.8077124600e-03 2.8302691800e-03 6.5701878300e+00 1.1692588000e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087832e-12
1.5971000000e-03 -1.8883634700e-03 2.1017776000e-03 1.5395535800e-06 -7.4507016300e-03 -6.6502529700e-03 -3.9443924000e-06 2.8254889900e-03 2.8189908200e-03 4.0008500100e-03 3.8618236700e-02 6.9094640200e-01 5.8792517000e+00 1.2499372400e+02 2.8077124600e-03 2.8302691800e-03 6.5701981000e+00 1.2536822800e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087847e-12
1.7112000000e-03 -2.1772069100e-03 1.8028917400e-03 1.3591029800e-06 -6.3889140100e-03 -7.6700529600e-03 -4.7014503200e-06 2.8267738400e-03 2.8189908200e-03 4.0008502900e-03 3.8618279800e-02 6.9094672500e-01 5.8792472900e+00 1.3347090100e+02 2.8077124600e-03 2.8302691800e-03 6.5701940200e+00 1.3380247600e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087863e-12
1.8252000000e-03 -2.4188686200e-03 1.4649333700e-03 1.1491954800e-06 -5.1901030200e-03 -8.5224378200e-03 -5.3557077600e-06 2.8278890600e-03 2.8189908200e-03 4.0008492600e-03 3.8618229000e-02 6.9090874500e-01 5.8792735000e+00 1.4194808500e+02 2.8077124600e-03 2.8302691800e-03 6.5701822500e+00 1.4222956100e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087825e-12
1.9393000000e-03 -2.6081729000e-03 1.0952639900e-03 9.1441200600e-07 -3.8802971000e-03 -9.1895222500e-03 -5.8934018300e-06 2.8288106900e-03 2.8189908200e-03 4.0008496100e-03 3.8618235900e-02 6.9097142000e-01 5.8792321700e+00 1.5042523600e+02 2.8077124700e-03 2.8302691800e-03 6.5702035900e+00 1.5065053400e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087854e-12
2.0534000000e-03 -2.7410767100e-03 7.0190865300e-04 6.5985650200e-07 -2.4877434700e-03 -9.6573889400e-03 -6.3032288200e-06 2.8295189900e-03 2.8189908200e-03 4.0008497100e-03 3.8618212600e-02 6.9090449700e-01 5.8793003600e+00 1.5890240700e+02 2.8077124600e-03 2.8302691800e-03 6.5702048600e+00 1.5906666800e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087850e-12
2.1675000000e-03 -2.8147501300e-03 2.9338519800e-04 3.9103994100e-07 -1.0423233800e-03 -9.9163367800e-03 -6.5766420300e-06 2.8299988200e-03 2.8189908200e-03 4.0008496200e-03 3.8618224900e-02 6.9092156600e-01 5.8792812100e+00 1.6737958200e+02 2.8077124600e-03 2.8302691800e-03 6.5702027700e+00 1.6747926500e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087814e-12
2.2815000000e-03 -2.8276318500e-03 -1.2147523300e-04 1.1377652700e-07 4.2505380400e-04 -9.9610488700e-03 -6.7079300400e-06 2.8302399400e-03 2.8189908200e-03 4.0008497400e-03 3.8618224900e-02 6.9093152200e-01 5.8792405600e+00 1.7585678500e+02 2.8077124600e-03 2.8302691800e-03 6.5701720800e+00 1.7588974500e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087842e-12
2.3956000000e-03 -2.7794591200e-03 -5.3371295800e-04 -1.6594277500e-07 1.8830683400e-03 -9.7906799200e-03 -6.6943633600e-06 2.8302371900e-03 2.8189908200e-03 4.0008498900e-03 3.8618214500e-02 6.9095471600e-01 5.8792268900e+00 1.8433394800e+02 2.8077124600e-03 2.8302691800e-03 6.5701816100e+00 1.8429947400e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087849e-12
2.5097000000e-03 -2.6712719700e-03 -9.3442647800e-04 -4.4207764900e-07 3.3006112900e-03 -9.4088637500e-03 -6.5362365200e-06 2.8299906300e-03 2.8189908200e-03 4.0008504900e-03 3.8618218200e-02 6.9090584900e-01 5.8792512700e+00 1.9281114500e+02 2.8077124600e-03 2.8302691800e-03 6.5701571200e+00 1.9270998000e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087857e-12
2.6238000000e-03 -2.5053915100e-03 -1.3149579300e-03 -7.0866613400e-07 4.6474004700e-03 -8.8236414600e-03 -6.2368436100e-06 2.8295055200e-03 2.8189908200e-03 4.0008499900e-03 3.8618212500e-02 6.9096479300e-01 5.8792128000e+00 2.0128829700e+02 2.8077124600e-03 2.8302691800e-03 6.5701775900e+00 2.0112261900e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087819e-12
2.7379000000e-03 -2.2853729100e-03 -1.6670738400e-03 -9.5993784400e-07 5.8945832300e-03 -8.0473111900e-03 -5.8024369900e-06 2.8287922300e-03 2.8189908200e-03 4.0008498300e-03 3.8618163300e-02 6.9095443400e-01 5.8792241000e+00 2.0976546900e+02 2.8077124600e-03 2.8302691800e-03 6.5701785400e+00 2.0953884900e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087815e-12
2.8519000000e-03 -2.0159336100e-03 -1.9831380200e-03 -1.1904544300e-06 7.0153175600e-03 -7.0962007100e-03 -5.2421310800e-06 2.8278660100e-03 2.8189908100e-03 4.0008499700e-03 3.8618239300e-02 6.9098643100e-01 5.8791927500e+00 2.1824264100e+02 2.8077124600e-03 2.8302691700e-03 6.5701791800e+00 2.1795996600e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325669e-03 -1.0094126030e+03 1.2681087814e-12
2.9660000000e-03 -1.7028579500e-03 -2.2562734300e-03 -1.3951955600e-06 7.9853232000e-03 -5.9903645900e-03 -4.5676629200e-06 2.8267467000e-03 2.8189908200e-03 4.0008489800e-03 3.8618167600e-02 6.9098505400e-01 5.8792053200e+00 2.2671980200e+02 2.8077124600e-03 2.8302691800e-03 6.5701903700e+00 2.2638717800e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087832e-12
3.0801000000e-03 -1.3528795900e-03 -2.4805098600e-03 -1.5697028600e-06 8.7833937200e-03 -4.7532077500e-03 -3.7932937500e-06 2.8254583400e-03 2.8189908200e-03 4.0008494300e-03 3.8618209200e-02 6.9095711000e-01 5.8792364800e+00 2.3519697100e+02 2.8077124600e-03 2.8302691800e-03 6.5701935900e+00 2.3482159200e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087808e-12
3.1942000000e-03 -9.7354364600e-04 -2.6509144900e-03 -1.7101440200e-06 9.3918597500e-03 -3.4110390700e-03 -2.9354138800e-06 2.8240286400e-03 2.8189908200e-03 4.0008509300e-03 3.8618202800e-02 6.9098242200e-01 5.8791900600e+00 2.4367416500e+02 2.8077124500e-03 2.8302691800e-03 6.5701724800e+00 2.4326416300e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087823e-12
3.3082000000e-03 -5.7305059600e-04 -2.7637024000e-03 -1.8134169000e-06 9.7969938600e-03 -1.9925588000e-03 -2.0123338400e-06 2.8224884900e-03 2.8189908200e-03 4.0008490600e-03 3.8618234700e-02 6.9103263800e-01 5.8791517700e+00 2.5215132500e+02 2.8077124600e-03 2.8302691700e-03 6.5701844000e+00 2.5171560000e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087796e-12
3.4223000000e-03 -1.6008483000e-04 -2.8163245000e-03 -1.8772089200e-06 9.9893467100e-03 -5.2828603100e-04 -1.0438610300e-06 2.8208712100e-03 2.8189908100e-03 4.0008512600e-03 3.8618221400e-02 6.9103700100e-01 5.8791419100e+00 2.6062850300e+02 2.8077124500e-03 2.8302691800e-03 6.5701789100e+00 2.6017653100e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325669e-03 -1.0094126030e+03 1.2681087799e-12
3.5364000000e-03 2.5636929200e-04 -2.8075304600e-03 -1.9000652600e-06 9.9640040200e-03 9.5006599100e-04 -5.0921090800e-08 2.8192119600e-03 2.8189908200e-03 4.0008498400e-03 3.8618234300e-02 6.9103991800e-01 5.8791452200e+00 2.6910566900e+02 2.8077124600e-03 2.8302691800e-03 6.5701851400e+00 2.6864730200e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087834e-12
3.6505000000e-03 6.6722021500e-04 -2.7374046500e-03 -1.8814131000e-06 9.7207550700e-03 2.4102573200e-03 9.4489000600e-07 2.8175469100e-03 2.8189908200e-03 4.0008485700e-03 3.8618237500e-02 6.9106075900e-01 5.8791250300e+00 2.7758284100e+02 2.8077124700e-03 2.8302691800e-03 6.5701857900e+00 2.7712809100e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087835e-12
3.7645000000e-03 1.0634669900e-03 -2.6073737100e-03 -1.8215885600e-06 9.2641633700e-03 3.8202187200e-03 1.9217495400e-06 2.8159124700e-03 2.8189908200e-03 4.0008487200e-03 3.8618249700e-02 6.9104080400e-01 5.8791355300e+00 2.8606002300e+02 2.8077124700e-03 2.8302691800e-03 6.5701763300e+00 2.8561884600e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087827e-12
3.8786000000e-03 1.4363978700e-03 -2.4201845600e-03 -1.7218283000e-06 8.6035327200e-03 5.1487652300e-03 2.8581104700e-06 2.8143445300e-03 2.8189908100e-03 4.0008497600e-03 3.8618204100e-02 6.9107950400e-01 5.8791042500e+00 2.9453718800e+02 2.8077124500e-03 2.8302691700e-03 6.5701837600e+00 2.9411926300e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325669e-03 -1.0094126030e+03 1.2681087800e-12
3.9927000000e-03 1.7777852700e-03 -2.1798526800e-03 -1.5842650400e-06 7.7527633300e-03 6.3663091600e-03 3.7331749900e-06 2.8128776500e-03 2.8189908300e-03 4.0008501100e-03 3.8618258600e-02 6.9104236000e-01 5.8791403600e+00 3.0301436200e+02 2.8077124700e-03 2.8302691900e-03 6.5701827200e+00 3.0262887700e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452326185e-03 -1.0094125959e+03 1.2681087850e-12
4.1068000000e-03 2.0800722200e-03 -1.8915809400e-03 -1.4118575800e-06 6.7300960300e-03 7.4455545200e-03 4.5273760700e-06 2.8115442200e-03 2.8189908200e-03 4.0008501300e-03 3.8618243300e-02 6.9099530800e-01 5.8791874400e+00 3.1149153400e+02 2.8077124600e-03 2.8302691800e-03 6.5701827500e+00 3.1114698100e+02 0.0000000000e+00 3.8620000000e-02 4.4940000000e-08 4.8514500000e+00 1.6384888687e+03 4.8452325927e-03 -1.0094125994e+03 1.2681087815e-12
